source_field,source_number,source_id,ra_deg,dec_deg,peak_flux,snr,noise_level,peak_x_pix,peak_y_pix,npix
G014.194-00.194_eb1,970,G014.194-00.194_eb1_970,274.25242526079586,-16.711930604868485,0.0003004235040862113,10.775827502582052,2.7879390609605183e-05,6,0,12
G014.194-00.194_eb1,1106,G014.194-00.194_eb1_1106,274.2523521737932,-16.711930607786346,0.0013212922494858503,47.393153888759336,2.7879390609605183e-05,69,0,562
G014.194-00.194_eb1,2729,G014.194-00.194_eb1_2729,274.2508869534081,-16.711930660867957,0.003102376824244857,111.27850201919429,2.7879390609605183e-05,1332,0,1581
G014.194-00.194_eb1,3172,G014.194-00.194_eb1_3172,274.2521607554529,-16.71193061530676,0.0013425234938040376,48.154692927237186,2.7879390609605183e-05,234,0,351
G014.194-00.194_eb1,3602,G014.194-00.194_eb1_3602,274.25236145468244,-16.711930607417255,0.0007332076202146709,26.299269969052393,2.7879390609605183e-05,61,0,608
G014.194-00.194_eb1,3950,G014.194-00.194_eb1_3950,274.25236841534934,-16.71193060714015,0.00032957494840957224,11.821454529785347,2.7879390609605183e-05,55,0,88
G014.194-00.194_eb1,4483,G014.194-00.194_eb1_4483,274.2523034491247,-16.711930609717335,0.002001560293138027,71.79354531689215,2.7879390609605183e-05,111,0,131
G014.194-00.194_eb1,4493,G014.194-00.194_eb1_4493,274.2524322214628,-16.71193060458925,0.001583752455189824,56.80728382363493,2.7879390609605183e-05,0,0,132
G014.194-00.194_eb1,6115,G014.194-00.194_eb1_6115,274.2523544940155,-16.711930607694107,0.000347539724316448,12.465829299608558,2.7879390609605183e-05,67,0,113
G014.449-00.101_eb1,3886,G014.449-00.101_eb1_3886,274.29444362905366,-16.442919476054904,0.002026152331382036,76.4090265318807,2.6517185512586657e-05,41,0,274
G014.449-00.101_eb1,5757,G014.449-00.101_eb1_5757,274.2943683271493,-16.44291947899925,0.00035638909321278334,13.439929099701006,2.6517185512586657e-05,106,0,143
G014.449-00.101_eb1,5958,G014.449-00.101_eb1_5958,274.29440539885604,-16.442919477553087,0.0003385402960702777,12.766826098855251,2.6517185512586657e-05,74,0,196
