target,proposal,src_id,ra,dec,peak_Jybeam,snr,sep_arcsec,on_target,all_off_target
G081.6802+00.5405B,2019.1.00263.S,11,309.7555691617688,42.325448841633865,0.0154661340638995,34.829280853271484,22.40475882615038,False,False
G081.6802+00.5405B,2019.1.00263.S,12,309.7544329652464,42.32820217247519,0.0147735206410288,33.269535064697266,12.641729868656304,False,False
G081.6802+00.5405B,2019.1.00263.S,13,309.7543382847863,42.32794550509429,0.013425669632852,30.234214782714844,13.594821432937444,False,False
G081.6802+00.5405B,2019.1.00263.S,14,309.7530127995706,42.32547215358712,0.0132413953542709,29.81923484802246,23.053030128534807,False,False
G081.6802+00.5405B,2019.1.00263.S,15,309.7529812479699,42.32523881963519,0.0132136717438697,29.75680160522461,23.887248480142052,False,False
G081.6802+00.5405B,2019.1.00263.S,16,309.75487482973824,42.32738550811003,0.0127090383321046,28.62038230895996,15.437706391861536,False,False
G081.6802+00.5405B,2019.1.00263.S,17,309.7545907901836,42.32649884015809,0.0124134058132767,27.954626083374023,18.676626971967924,False,False
G081.6802+00.5405B,2019.1.00263.S,18,309.75253935484744,42.3264988100628,0.0114563778042793,25.799427032470703,19.914129126380445,False,False
G081.6802+00.5405B,2019.1.00263.S,19,309.75635816464893,42.32558883676588,0.0113219339400529,25.49666404724121,22.093137434897017,False,False
G081.6802+00.5405B,2019.1.00263.S,20,309.75620035789245,42.32516883817232,0.0111811961978673,25.179725646972656,23.540696074117765,False,False
G081.8789+00.7822,2022.1.01756.S,1,308.89354160382084,42.33514178672654,0.0027363509871065,22.145273208618164,2289.025342864084,False,True
G081.8789+00.7822,2022.1.01756.S,2,308.8934452183373,42.3352895645925,0.0070267552509903,56.86749267578125,2289.0017722967123,False,True
G081.8789+00.7822,2022.1.01756.S,3,308.8942698587391,42.335714422339954,0.0084908157587051,68.71612548828125,2286.355779573379,False,True
G081.8789+00.7822,2022.1.01756.S,4,308.89360943372753,42.33599150883822,0.0030022317077964,24.29704475402832,2287.4352687961573,False,True
G081.8789+00.7822,2022.1.01756.S,5,308.8948196711926,42.33801816681541,0.0059083402156829,47.816165924072266,2281.1968535242186,False,True
G189.0307+00.7821,2022.1.01160.S,1,92.1704847030546,21.51582937616912,0.0009604231454432,28.1988468170166,6.499610936810958,False,False
G189.0307+00.7821,2022.1.01160.S,2,92.16730537458362,21.516286496334423,0.001850615022704,54.33564376831055,5.414321482316843,False,False
G189.0307+00.7821,2022.1.01160.S,3,92.16846937912617,21.516521166671076,0.0007458094623871,21.897605895996094,1.5294394008053538,True,False
G189.0307+00.7821,2022.1.01160.S,4,92.17120729582756,21.51681447682609,0.0009302928810939,27.314197540283203,7.951775153529441,False,False
G189.0307+00.7821,2022.1.01160.S,5,92.16802269369262,21.516995388438566,0.0025580986402928,75.10797119140625,2.8256929263093356,True,False
G189.0307+00.7821,2022.1.01160.S,6,92.1684063178003,21.516997833345247,0.0247463434934616,726.5738525390625,1.6348816640428132,True,False
G189.0307+00.7821,2022.1.01160.S,7,92.16805947951188,21.517017388520863,0.0008970209746621,26.337305068969727,2.731505853847165,True,False
G189.0307+00.7821,2022.1.01160.S,8,92.1692103580962,21.51813205369187,0.0008390745497308,24.635948181152344,5.036255642126527,False,False
G189.0307+00.7821,2022.1.01160.S,9,92.16992506476451,21.518528048793147,0.0012980664614588,38.11234664916992,7.284990546761073,False,False
G189.0307+00.7821,2022.1.01160.S,10,92.16944421657207,21.51864049686802,0.008210839703679,241.07730102539065,7.010947734481844,False,False
G189.0307+00.7821,2022.1.01160.S,11,92.16944947208636,21.5186869412802,0.009159829467535,268.9404602050781,7.176077601308622,False,False
G192.6005-00.0479,2019.1.00315.S,1,93.22504858560896,17.989736299969934,0.0573755949735641,64.882568359375,0.05471482145504504,True,False
G232.6207+00.9959,2015.1.01454.S,1,113.03928543339366,-16.97561694133793,0.005891581531614,10.008705139160156,19.31164639683576,False,True
