target,proposal,src_id,species,line,v,peak_K,trough_K,sigma_K,snr,trough_snr,peak_v,dv_from_vlsr,v_ok,trough_clean,is_v0,passes_strict
G268.4222-00.8490,2021.1.00095.S,1,H2O,H2O_v2_3_13-2_20_232,2,0.0059861065819859505,-0.005726533476263285,0.0026191433425992727,2.2855207978213437,2.186414688773848,-3.2348062803540962,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,2,NaCl,NaCl_v0_J18-17,0,0.005920095834881067,-0.008138831704854965,0.003630399936810136,1.6307007321300202,2.2418554006493783,28.913194211582653,0.0,True,False,True,False
G268.4222-00.8490,2021.1.00095.S,2,NaCl,NaCl_v1_J17-16,1,0.005210018716752529,-0.007419050671160221,0.0031160325743258,1.6720039320769278,2.3809284704815523,-28.32849199106201,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,2,NaCl,NaCl_v2_J17-16,2,0.008928376249969006,-0.009995031170547009,0.002847283845767379,3.1357520828987444,3.5103739956959656,-27.34382356420695,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,2,NaCl,NaCl_v2_J18-17,2,0.008582862094044685,-0.004527040757238865,0.0025368747301399708,3.3832423777468628,1.7844951914472686,-0.19438264610577607,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,2,KCl,KCl_v2_J29-28,2,0.0076650637201964855,-0.008276566863059998,0.0031812377274036407,2.4094595805175203,2.601681349295105,29.004053616241784,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,2,H2O,H2O_5_15-4_22_232,0,0.005058919079601765,-0.005454614292830229,0.0015434800880029798,3.277605664577902,3.5339712738942044,-16.917712177910552,0.0,True,False,True,False
G268.4222-00.8490,2021.1.00095.S,2,H2O,H2O_v2_3_13-2_20_232,2,0.0045196195133030415,-0.0046821776777505875,0.0015672734007239342,2.8837467101881513,2.9874670721699594,13.734408292295644,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,3,NaCl,NaCl_v0_J18-17,0,0.008548947051167488,-0.009303771890699863,0.0020660357549786568,4.137850485194436,4.503199844571895,-3.5848916665199213,0.0,True,False,True,False
G268.4222-00.8490,2021.1.00095.S,3,NaCl,NaCl_v1_J17-16,1,0.0030426057055592537,-0.007121317088603973,0.0018408320611342788,1.6528426301335002,3.868531648789287,-2.3303890639742604,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,3,NaCl,NaCl_v2_J17-16,2,0.005470041185617447,-0.008013341575860977,0.0016996919875964522,3.218254381108588,4.7145845449284645,-17.2695140015441,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,3,NaCl,NaCl_v2_J18-17,2,0.008631541393697262,-0.006773684173822403,0.002943076193332672,2.932829742312278,2.3015660244093232,23.911828541720812,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,3,KCl,KCl_v2_J29-28,2,0.006317513063549995,-0.008099090307950974,0.0030196825973689556,2.0921116242662174,2.682099872022211,-24.250422742478083,0.0,True,False,False,False
G268.4222-00.8490,2021.1.00095.S,3,H2O,H2O_5_15-4_22_232,0,0.005629536230117083,-0.0035501490347087383,0.002108593937009573,2.6698057560105393,1.683657043870472,28.382125440351693,0.0,True,False,True,False
