name,origin,n_cubes,vcen_kms,NaCl_snr,KCl_snr,H2O_snr,status
G015.029-00.669_eb1_001,DIHCA2,4,19.200000762939453,1.8392082510073855,1.9242774415409196,2.628902964312988,ok
G015.024-00.654_eb1_005,DIHCA2,4,19.399999618530273,3.0550285421833605,2.6141339654460105,nan,ok
G015.024-00.654_eb1_003,DIHCA2,4,19.399999618530273,2.272693158908784,2.2039634764315355,1.9487566716677578,ok
G015.024-00.654_eb1_002,DIHCA2,4,19.399999618530273,2.631599842372609,2.1174814684373358,1.2023097987683686,ok
G015.024-00.654_eb1_001,DIHCA2,4,19.399999618530273,6.784249918294515,2.9751782298962177,nan,ok
G015.013-00.671_eb1_005,DIHCA2,4,19.399999618530273,2.427076241882,3.7588028502163837,2.378672449523183,ok
G015.013-00.671_eb1_002,DIHCA2,4,19.399999618530273,4.853569329082433,5.365952119803834,4.40257997538072,ok
G015.013-00.671_eb1_001,DIHCA2,4,19.399999618530273,3.390672634107402,6.881763579381028,2.3596540992843082,ok
G014.449-00.101_eb1_003,DIHCA2,4,40.20000076293945,2.584410217898207,1.9470221445308156,3.072869143694564,ok
G014.449-00.101_eb1_002,DIHCA2,4,40.20000076293945,2.943400652187191,2.7714760059408308,2.8585528009713417,ok
G014.449-00.101_eb1_001,DIHCA2,4,40.20000076293945,2.6415356475375904,3.1840251233855277,2.697086777030051,ok
G014.194-00.194_eb1_011,DIHCA2,4,39.400001525878906,4.7514457266694725,6.3073198519269695,3.509940643789793,ok
G014.194-00.194_eb1_010,DIHCA2,4,39.400001525878906,4.7514457266694725,6.3073198519269695,3.509940643789793,ok
G014.194-00.194_eb1_009,DIHCA2,4,39.400001525878906,4.7514457266694725,6.3073198519269695,3.195043611679277,ok
G014.194-00.194_eb1_008,DIHCA2,4,39.400001525878906,4.7514457266694725,6.023845232092799,3.509940643789793,ok
G014.194-00.194_eb1_007,DIHCA2,4,39.400001525878906,4.7514457266694725,6.023845232092799,3.0202317893950927,ok
G014.194-00.194_eb1_006,DIHCA2,4,39.400001525878906,4.7514457266694725,6.3073198519269695,3.509940643789793,ok
G014.194-00.194_eb1_005,DIHCA2,4,39.400001525878906,5.792128801155835,6.023845232092799,5.093256950282772,ok
G014.194-00.194_eb1_004,DIHCA2,4,39.400001525878906,5.454780438391169,6.3073198519269695,3.509940643789793,ok
G014.194-00.194_eb1_003,DIHCA2,4,39.400001525878906,4.7514457266694725,6.3073198519269695,3.509940643789793,ok
G014.194-00.194_eb1_002,DIHCA2,4,39.400001525878906,4.7514457266694725,6.3073198519269695,3.509940643789793,ok
G014.194-00.194_eb1_001,DIHCA2,4,39.400001525878906,4.7514457266694725,8.093005558703556,3.509940643789793,ok
G013.276-00.334_001,DIHCA2,4,38.20000076293945,3.2506080029680526,2.8751497112222517,2.5126889475421748,ok
G012.908-00.259_010,DIHCA2,4,36.70000076293945,6.154962209057115,7.839751969604858,4.4171877622163285,ok
G012.908-00.259_008,DIHCA2,4,36.70000076293945,6.0826752640686435,7.765292552426949,5.239283305583243,ok
G012.908-00.259_007,DIHCA2,4,36.70000076293945,1.325281660729302,1.2750506977714466,1.6325232004175314,ok
G012.908-00.259_006,DIHCA2,4,36.70000076293945,2.111216320236307,2.7032891477712413,3.684837314675724,ok
G012.908-00.259_005,DIHCA2,4,36.70000076293945,4.959066068386815,13.350190539564394,5.7690087410713815,ok
G012.908-00.259_004,DIHCA2,4,36.70000076293945,4.755851081208522,10.790396833823728,nan,ok
G012.908-00.259_003,DIHCA2,4,36.70000076293945,2.841771845283108,3.164611580017137,2.6478702496450883,ok
G012.908-00.259_002,DIHCA2,4,36.70000076293945,2.834075699954564,4.38926062312952,nan,ok
G012.908-00.259_001,DIHCA2,4,36.70000076293945,2.200917067027555,1.2991381382585594,1.8321899798621686,ok
G011.917-00.612_007,DIHCA2,4,35.20000076293945,4.224320724874262,5.153526782223367,2.800016832807913,ok
G011.917-00.612_006,DIHCA2,4,35.20000076293945,3.0323689988632863,3.1481125822285883,nan,ok
G011.917-00.612_004,DIHCA2,4,35.20000076293945,2.9134659434274175,9.567747807883704,2.9841869644828036,ok
G011.917-00.612_001,DIHCA2,4,35.20000076293945,2.7806152866196494,5.658391820453246,3.363458441118263,ok
G011.082-00.534_eb1_002,DIHCA2,4,29.5,2.497612123282237,2.113176819271822,nan,ok
G010.404-00.201_eb1_002,DIHCA2,4,11.0,2.3348888818709637,1.2488088661402375,1.9018616402289457,ok
G009.879-00.751_008,DIHCA2,4,27.600000381469727,4.80474590650279,3.5477552740465574,2.5675552698237585,ok
G009.879-00.751_007,DIHCA2,4,27.600000381469727,2.58713424878263,2.85321203430239,2.4849698977610917,ok
G009.879-00.751_006,DIHCA2,4,27.600000381469727,4.80474590650279,3.5477552740465574,2.5675552698237585,ok
G009.879-00.751_005,DIHCA2,4,27.600000381469727,2.8127784325659477,2.5903772715984097,1.3666593627634005,ok
G009.879-00.751_004,DIHCA2,4,27.600000381469727,5.7390270491705495,3.5477552740465574,2.9466740947319923,ok
G009.879-00.751_003,DIHCA2,4,27.600000381469727,3.875742850737972,2.6699292735586897,1.8718726057972055,ok
G009.879-00.751_002,DIHCA2,4,27.600000381469727,3.875742850737972,2.6699292735586897,1.8718726057972055,ok
G009.879-00.751_001,DIHCA2,4,27.600000381469727,4.80474590650279,3.5477552740465574,2.5675552698237585,ok
G009.213-00.202_009,DIHCA2,4,42.099998474121094,4.343796302481105,4.833994157271473,2.554838257072159,ok
G009.213-00.202_008,DIHCA2,4,42.099998474121094,2.920886847933235,3.4518193476654626,2.8017115409534363,ok
G009.213-00.202_007,DIHCA2,4,42.099998474121094,2.920886847933235,3.4518193476654626,2.5561299944790843,ok
G009.213-00.202_006,DIHCA2,4,42.099998474121094,3.700733930457248,3.6738456712691683,2.3800259875693563,ok
G009.213-00.202_005,DIHCA2,4,42.099998474121094,4.343796302481105,4.833994157271473,2.554838257072159,ok
G009.213-00.202_004,DIHCA2,4,42.099998474121094,4.343796302481105,4.833994157271473,2.554838257072159,ok
G009.213-00.202_003,DIHCA2,4,42.099998474121094,4.343796302481105,4.833994157271473,2.554838257072159,ok
G009.213-00.202_002,DIHCA2,4,42.099998474121094,4.343796302481105,4.833994157271473,2.554838257072159,ok
G009.213-00.202_001,DIHCA2,4,42.099998474121094,4.343796302481105,4.833994157271473,2.554838257072159,ok
G008.872-00.492_002,DIHCA2,4,20.100000381469727,2.7098594024604443,2.4801851109943933,nan,ok
G008.872-00.492_001,DIHCA2,4,20.100000381469727,4.144653707721743,6.217589510787899,nan,ok
G008.672-00.682_002,DIHCA2,4,16.799999237060547,4.3380600158077245,4.8693706103648005,5.087438214448333,ok
G008.672-00.682_001,DIHCA2,4,16.799999237060547,3.0750628321499462,2.1491985006338394,nan,ok
