name,origin,family,snr_max,n_lines_avail,noise_K,ul3_stack_K,ul3_per_line_K,ul3_per_line_Jybeam,best_line
G345.488+00.314_008,DIHCA2,NaCl,1.828,1,7.54273,,22.6282,0.001042,NaCl_v2_17-16
G345.488+00.314_006,DIHCA2,NaCl,2.349,1,10.6986,,32.0958,0.001477,NaCl_v2_17-16
G345.181+01.045_011,DIHCA2,NaCl,1.258,1,42.8202,,128.4606,0.003126,NaCl_v2_17-16
G345.181+01.045_006,DIHCA2,NaCl,4.296,1,13.93334,,41.8,0.001385,NaCl_v2_17-16
G345.181+01.045_004,DIHCA2,H2O,1.992,1,20.54302,,61.6291,0.002109,H2O_232
G345.181+01.045_004,DIHCA2,NaCl,1.73,2,0.61516,,1.8455,6.1e-05,NaCl_v1_17-16
G345.181+01.045_002,DIHCA2,NaCl,2.188,2,14.7244,,44.1732,0.001017,NaCl_v0_18-17
G337.406-00.402_004,DIHCA2,NaCl,3.435,3,10.21572,,30.6472,0.000922,NaCl_v1_17-16
G337.406-00.402_003,DIHCA2,NaCl,3.432,2,13.14104,,39.4231,0.001677,NaCl_v0_18-17
G337.152-00.394_001,DIHCA2,NaCl,1.498,1,34.13674,,102.4102,0.003083,NaCl_v1_17-16
G333.018+00.766_014,DIHCA2,NaCl,2.709,4,0.61273,,1.8382,7e-05,NaCl_v0_18-17
G333.018+00.766_014,DIHCA2,H2O,1.148,1,1.37258,,4.1177,0.000155,H2O_232
G333.018+00.766_012,DIHCA2,NaCl,2.54,1,16.15465,,48.4639,0.001724,NaCl_v1_17-16
G333.018+00.766_009,DIHCA2,H2O,1.788,1,12.80873,,38.4262,0.001449,H2O_232
G333.018+00.766_009,DIHCA2,NaCl,1.328,1,12.80698,,38.421,0.001446,NaCl_v1_18-17
G333.018+00.766_007,DIHCA2,NaCl,2.095,1,17.6098,,52.8294,0.001879,NaCl_v1_17-16
G333.018+00.766_006,DIHCA2,NaCl,2.703,2,0.37573,,1.1272,4.3e-05,NaCl_v0_18-17
G333.018+00.766_005,DIHCA2,NaCl,2.389,2,0.13036,,0.3911,1.5e-05,NaCl_v1_18-17
G333.018+00.766_005,DIHCA2,H2O,1.65,1,0.13029,,0.3909,1.5e-05,H2O_232
G333.018+00.766_004,DIHCA2,NaCl,3.143,7,0.13036,,0.3911,1.5e-05,NaCl_v1_18-17
G333.018+00.766_004,DIHCA2,H2O,2.34,2,0.13029,,0.3909,1.5e-05,H2O_232
G331.384+00.151_005,DIHCA2,NaCl,2.331,1,26.9093,,80.7279,0.001987,NaCl_v0_18-17
G331.384+00.151_004,DIHCA2,NaCl,1.493,1,28.7258,,86.1774,0.003128,NaCl_v1_17-16
G329.029-00.206_006,DIHCA2,NaCl,1.456,1,13.16223,,39.4867,0.001743,NaCl_v2_17-16
G329.029-00.206_005,DIHCA2,NaCl,2.608,1,12.58747,,37.7624,0.001666,NaCl_v2_17-16
G329.029-00.206_003,DIHCA2,NaCl,2.367,1,20.90724,,62.7217,0.002768,NaCl_v2_17-16
G328.809+00.632_010,DIHCA2,NaCl,3.455,1,19.70903,,59.1271,0.002568,NaCl_v0_18-17
G328.809+00.632_001,DIHCA2,NaCl,2.621,2,14.41396,,43.2419,0.001957,NaCl_v0_18-17
G328.254-00.532_005,DIHCA2,NaCl,2.582,2,5.81247,,17.4374,0.000786,NaCl_v2_17-16
G328.254-00.532_002,DIHCA2,NaCl,4.797,1,8.59334,,25.78,0.000885,NaCl_v2_17-16
G327.301-00.552_eb1_006,DIHCA2,H2O,1.2,1,41.21042,,123.6313,0.004292,H2O_232
G327.301-00.552_eb1_006,DIHCA2,NaCl,0.941,1,41.43233,,124.297,0.004308,NaCl_v1_18-17
G327.301-00.552_eb1_005,DIHCA2,H2O,4.539,1,8.14443,,24.4333,0.000848,H2O_232
G327.301-00.552_eb1_005,DIHCA2,NaCl,4.505,3,8.23873,,24.7162,0.000857,NaCl_v1_18-17
