target,display,proposal,src_id,species,line,v,J,peak_K,trough_K,sigma_K,snr,trough_snr,peak_v,dv_from_vlsr,v_ok,trough_clean,is_v0,passes_strict
G345.5043+00.3480,I17016-4124,2022.1.01344.S,1,NaCl,NaCl_v2_J17-16,2,17-16.spec,0.001460038940422237,-0.0016884414944797754,0.0009481462184339762,1.5398879540264772,1.780781763037058,13.585357941502938,0.0,True,False,False,False
G345.5043+00.3480,I17016-4124,2022.1.01344.S,1,NaCl,NaCl_v2_J18-17,2,18-17.spec,0.0018234988674521446,-0.000991370528936386,0.0006794760702177882,2.683683719527709,1.4590219911918727,-6.3698392421852335,0.0,True,False,False,False
G345.5043+00.3480,I17016-4124,2022.1.01344.S,1,H2O,H2O_5_15-4_22_232,0,,0.0007831809343770146,-0.0012704147957265377,0.0005081954877823591,1.5411017083103684,2.4998545368246328,0.7806288074491895,0.0,True,False,True,False
G345.5043+00.3480,I17016-4124,2022.1.01344.S,1,H2O,H2O_v2_3_13-2_20_232,2,,0.0022104124072939157,-0.0019366682972759008,0.0009141059126704931,2.418114112003016,2.1186475991803477,-29.55252335923619,0.0,True,False,False,False
G345.5043+00.3480,I17016-4124,2022.1.01344.S,2,NaCl,NaCl_v0_J18-17,0,18-17.spec,0.003676492488011718,-0.0009920441079884768,0.0009386345045641065,3.916852054910392,1.0569013851128062,-28.51844906335557,0.0,True,True,True,False
G345.5043+00.3480,I17016-4124,2022.1.01344.S,2,NaCl,NaCl_v1_J17-16,1,17-16.spec,0.004406402353197336,-0.010349295102059841,0.0018094958504661918,2.4351547156419766,5.719435664576676,-20.94767846914461,0.0,True,False,False,False
G345.5043+00.3480,I17016-4124,2022.1.01344.S,2,NaCl,NaCl_v2_J17-16,2,17-16.spec,0.003580283373594284,-0.0007844726787880063,0.0005406440468505025,6.622256167345342,1.45099660924395,-19.995911178747892,0.0,True,True,False,True
G345.5043+00.3480,I17016-4124,2022.1.01344.S,2,NaCl,NaCl_v2_J18-17,2,18-17.spec,0.0036057408433407545,-0.0007889247499406338,0.0008429837762378156,4.277354968126376,0.9358718070015013,-26.669964523886915,0.0,True,True,False,False
G345.5043+00.3480,I17016-4124,2022.1.01344.S,2,H2O,H2O_5_15-4_22_232,0,,0.007926300168037415,-0.0012704844120889902,0.0005206320784054697,15.224379166787319,2.4402730157928025,-23.12780976579417,0.0,True,True,True,True
G345.5043+00.3480,I17016-4124,2022.1.01344.S,2,H2O,H2O_v2_3_13-2_20_232,2,,0.00213694479316473,-0.01350502111017704,0.0006475845584645867,3.299869901517408,20.85445203047652,-23.267578879244336,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2016.1.01137.S,1,NaCl,NaCl_v0_J31-30,0,31-30.spec,0.40673449635505676,-0.034658923745155334,0.05138539895415306,7.915370993187234,0.6744897276379741,24.92276440523693,0.0,True,True,True,True
IRAS17233-3606,IRAS 17233-3606,2016.1.01137.S,1,NaCl,NaCl_v0_J51-50,0,51-50.spec,0.25239694118499756,-0.32012563943862915,0.2079518437385559,1.2137278354806007,1.5394219819522348,-26.138759217951012,0.0,True,False,True,False
IRAS17233-3606,IRAS 17233-3606,2016.1.01137.S,1,NaCl,NaCl_v2_J52-51,2,52-51.spec,0.2600739896297455,-0.10914287716150284,0.041324011981487274,6.293531948114232,2.641149102618538,-6.8545835728257085,0.0,True,True,False,True
IRAS17233-3606,IRAS 17233-3606,2016.1.01137.S,1,NaCl,NaCl_v2_J53-52,2,53-52.spec,0.27516788244247437,-0.2301013320684433,0.11630813032388687,2.365852513286954,1.9783770182503404,-10.404988006054307,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2016.1.01137.S,1,KCl,KCl_v0_J51-50,0,51-50.spec,0.15339460968971252,-0.10499578714370728,0.04031286761164665,3.8051029057877246,2.6045229070574307,-2.3833638866575493,0.0,True,False,True,False
IRAS17233-3606,IRAS 17233-3606,2016.1.01137.S,1,KCl,KCl_v0_J87-86,0,87-86.spec,0.2974345088005066,-0.29028815031051636,0.0778229758143425,3.8219369754001424,3.7301085864801546,-17.91430902731919,0.0,True,False,True,False
IRAS17233-3606,IRAS 17233-3606,2016.1.01137.S,1,KCl,KCl_v1_J53-52,1,53-52.spec,0.11441081762313843,-0.13273225724697113,0.09551577270030975,1.197821201552897,1.3896370567344076,-28.848626523265615,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2016.1.01137.S,1,KCl,KCl_v2_J88-87,2,88-87.spec,0.3829311728477478,-0.18122059106826782,0.08129630237817764,4.710314757815332,2.2291369443256848,2.3354425876851894,0.0,True,True,False,False
IRAS17233-3606,IRAS 17233-3606,2016.1.01137.S,1,KCl,KCl_v2_J90-89,2,90-89.spec,0.44140487909317017,-0.09846557676792145,0.08648324012756348,5.103935495965397,1.1385509680567463,-2.5063927364388947,0.0,True,True,False,True
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,1,NaCl,NaCl_v0_J18-17,0,18-17.spec,0.0030003427527844906,-0.005368025507777929,0.0019058330217376351,1.574294661999791,2.816629498256702,-28.0764315647654,0.0,True,False,True,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,1,NaCl,NaCl_v1_J17-16,1,17-16.spec,0.003410985693335533,-0.0014353969600051641,0.0016119692008942366,2.116036516977679,0.8904617775630457,-11.821047474366031,0.0,True,True,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,1,NaCl,NaCl_v1_J18-17,1,18-17.spec,0.0068757119588553905,-0.0011445698328316212,0.0010484398808330297,6.558041223491372,1.0916885686589985,13.293559645705392,0.0,True,True,False,True
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,1,NaCl,NaCl_v2_J17-16,2,17-16.spec,0.003014102578163147,-0.0017060603713616729,0.002332310890778899,1.2923245310390659,0.7314892616189416,-19.106371419291012,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,1,KCl,KCl_v2_J29-28,2,29-28.spec,0.0024405615404248238,-0.005467964336276054,0.0025780280120670795,0.9466776656425722,2.120987169527225,12.89598475350486,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,1,KCl,KCl_v2_J31-30,2,31-30.spec,0.00494208512827754,-0.0034645218402147293,0.0017262875335291028,2.8628400728668204,2.006920500162624,-9.597286656059557,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,1,H2O,H2O_5_15-4_22_232,0,,0.0031927276868373156,-0.0027748974971473217,0.0009022197918966413,3.5387471162936714,3.075633589586799,-10.411656104332767,0.0,True,False,True,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,4,NaCl,NaCl_v0_J18-17,0,18-17.spec,0.004265712108463049,-0.00888026598840952,0.0014469888992607594,2.9479922829002523,6.137065732118807,-15.577999154669815,0.0,True,False,True,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,4,NaCl,NaCl_v1_J17-16,1,17-16.spec,0.004276853054761887,-0.003734785597771406,0.00187915307469666,2.2759471340312563,1.9874834296691286,-14.48734443727904,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,4,NaCl,NaCl_v1_J18-17,1,18-17.spec,0.004716384690254927,-0.0037372452206909657,0.002283655572682619,2.065278471356594,1.636518775158729,-3.0762098280764185,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,4,NaCl,NaCl_v2_J17-16,2,17-16.spec,0.00360274245031178,-0.00338755757547915,0.0014598496491089463,2.4678859583319412,2.3204838782862507,-15.076911804482807,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,4,KCl,KCl_v2_J29-28,2,29-28.spec,0.005217954982072115,-0.015240902081131935,0.005279759410768747,0.9882940823836454,2.8866660192974245,-19.05460242986493,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,4,KCl,KCl_v2_J31-30,2,31-30.spec,0.001416090177372098,-0.010238967835903168,0.0010932113509625196,1.2953489516233976,9.365954558455922,19.05250821857946,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,4,H2O,H2O_5_15-4_22_232,0,,0.003583494108170271,-0.0025183730758726597,0.0012627743417397141,2.8377945209381745,1.99431758520142,-6.636921118582599,0.0,True,False,True,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,5,NaCl,NaCl_v0_J18-17,0,18-17.spec,0.016048012301325798,-0.0029474846087396145,0.00197393586859107,8.1299562750133,1.4932018084475212,-5.579253226593369,0.0,True,True,True,True
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,5,NaCl,NaCl_v1_J17-16,1,17-16.spec,0.00941743515431881,-0.003535656025633216,0.0033017857931554317,2.8522247487529495,1.0708314370249563,-7.821602029996575,0.0,True,True,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,5,NaCl,NaCl_v1_J18-17,1,18-17.spec,0.01112333219498396,-0.002620295388624072,0.001698829815723002,6.547643614466467,1.542411938131016,-11.890701083189809,0.0,True,True,False,True
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,5,NaCl,NaCl_v2_J17-16,2,17-16.spec,0.005941624753177166,-0.004519850015640259,0.0003679318760987371,16.14870887561449,12.284475222873391,-11.047452189674368,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,5,KCl,KCl_v2_J29-28,2,29-28.spec,0.02314029261469841,-0.0207970067858696,0.015430967323482037,1.499600908329624,1.3477448529245346,-25.71097475973354,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,5,KCl,KCl_v2_J31-30,2,31-30.spec,0.002507042372599244,-0.0082814646884799,0.0010469070402905345,2.3947134522120486,7.910410733489435,17.80686496316036,0.0,True,False,False,False
IRAS17233-3606,IRAS 17233-3606,2017.1.00237.S,5,H2O,H2O_5_15-4_22_232,0,,0.0382608063519001,-0.002410114975646138,0.0010866945376619697,35.20842796745668,2.2178403333392254,-6.636921118582599,0.0,True,True,True,True
