ID,Name,GLON,GLAT,Dist_kpc,theta_200AU_arcsec,n_alma_obs,best_res_arcsec,n_hires_obs
31416,b'HIGALBM297.6600-0.9728',297.660043,-0.972835,10.843,0.018445079774970025,0,,0
31545,b'HIGALBM298.1824-0.7852',298.182385,-0.785231,10.304,0.019409937888198756,0,,0
31566,b'HIGALBM298.2174-0.3351',298.217408,-0.335096,11.344,0.01763046544428773,0,,0
31571,b'HIGALBM298.2249-0.3386',298.22491,-0.338597,11.344,0.01763046544428773,0,,0
31787,b'HIGALBM298.7227-0.0862',298.722721,-0.086154,10.244,0.01952362358453729,0,,0
31835,b'HIGALBM298.8327+0.1268',298.832669,0.126752,10.454,0.01913143294432753,0,,0
31850,b'HIGALBM298.8567-0.4348',298.856727,-0.434825,11.012,0.018162005085361425,0,,0
31866,b'HIGALBM298.8868-0.4387',298.886761,-0.438706,11.012,0.018162005085361425,0,,0
31918,b'HIGALBM299.0129+0.1283',299.012921,0.128322,10.495,0.019056693663649357,0,,0
31948,b'HIGALBM299.1539+0.0083',299.153864,0.008281,8.529,0.023449407902450464,0,,0
32287,b'HIGALBM300.5032-0.1762',300.503243,-0.176172,9.779,0.020451988955925964,0,,0
32737,b'HIGALBM302.1498-0.9501',302.149785,-0.950126,12.074,0.016564518800728838,0,,0
32841,b'HIGALBM302.4304-0.1089',302.430408,-0.108873,6.45,0.031007751937984496,0,,0
32867,b'HIGALBM302.4866-0.0315',302.486566,-0.031458,5.987,0.033405712376816436,22,0.451648136952988,0
33069,b'HIGALBM303.1169-0.9713',303.116929,-0.971332,11.738,0.01703867779860283,0,,0
33180,b'HIGALBM303.4840-0.4601',303.48397,-0.460069,11.721,0.017063390495691493,0,,0
33322,b'HIGALBM303.9302-0.6874',303.930181,-0.687394,12.395,0.016135538523598225,28,0.16196542391452587,0
33495,b'HIGALBM304.3664-0.3357',304.366416,-0.335731,12.886,0.01552072016141549,0,,0
33574,b'HIGALBM304.5565+0.3272',304.556493,0.327171,5.183,0.03858769052672197,12,0.13306691975538087,0
33585,b'HIGALBM304.5851+0.5808',304.585066,0.580808,5.632,0.03551136363636364,0,,0
33621,b'HIGALBM304.6647-0.9648',304.664685,-0.964801,10.229,0.01955225339720403,4,5.174817727228943,0
33737,b'HIGALBM304.9197+0.5665',304.919724,0.566493,3.138,0.06373486297004462,4,0.7348375147820078,0
33744,b'HIGALBM304.9326+0.5482',304.932613,0.548202,3.138,0.06373486297004462,0,,0
33749,b'HIGALBM304.9412+0.5533',304.941213,0.553295,3.138,0.06373486297004462,0,,0
33862,b'HIGALBM305.1380+0.0685',305.137954,0.068534,3.5,0.05714285714285714,48,0.3035857361291517,0
33895,b'HIGALBM305.1803+0.0445',305.180308,0.044497,6.543,0.03056701818737582,0,,0
33901,b'HIGALBM305.1935-0.0057',305.193463,-0.005676,6.941,0.028814291888776832,40,0.05237218970808782,0
33902,b'HIGALBM305.1952+0.0326',305.195218,0.032613,6.941,0.028814291888776832,40,0.16062983210849896,0
33909,b'HIGALBM305.1994+0.0070',305.199378,0.00697,6.941,0.028814291888776832,12,0.303754785472716,0
33911,b'HIGALBM305.2001+0.0192',305.200082,0.019184,6.941,0.028814291888776832,8,13.922884786008625,0
33912,b'HIGALBM305.2015+0.2286',305.201491,0.228633,4.315,0.046349942062572425,18,0.13415978097415981,0
33934,b'HIGALBM305.2393+0.2260',305.239342,0.225957,5.575,0.03587443946188341,12,0.13418236780730142,0
33941,b'HIGALBM305.2472+0.2449',305.247238,0.244872,3.786,0.05282620179609086,12,0.13423884645080697,0
33947,b'HIGALBM305.2581+0.0021',305.25812,0.002112,6.866,0.029129041654529567,0,,0
33958,b'HIGALBM305.2683-0.0099',305.268271,-0.009877,6.866,0.029129041654529567,12,0.3037540488491193,0
33963,b'HIGALBM305.2745+0.2952',305.274458,0.29518,3.786,0.05282620179609086,12,0.1331428220048985,0
33983,b'HIGALBM305.3077-0.0384',305.307709,-0.038444,7.003,0.0285591889190347,12,0.13422090522630492,0
33992,b'HIGALBM305.3218+0.0700',305.321815,0.069958,6.062,0.03299241174529858,0,,0
34003,b'HIGALBM305.3401+0.1906',305.340122,0.19063,5.889,0.033961623365596876,17,0.9891663961212818,0
34007,b'HIGALBM305.3484+0.2233',305.348369,0.223276,5.889,0.033961623365596876,0,,0
34013,b'HIGALBM305.3544+0.2051',305.354445,0.205134,5.889,0.033961623365596876,4,5.655068347231649,0
34014,b'HIGALBM305.3552+0.1926',305.355237,0.19258,5.889,0.033961623365596876,21,0.9890252998349001,0
34018,b'HIGALBM305.3595+0.1997',305.359462,0.199741,5.889,0.033961623365596876,12,0.13395725572932737,0
34019,b'HIGALBM305.3610+0.1865',305.360962,0.186451,5.889,0.033961623365596876,17,0.9890252998349001,0
34022,b'HIGALBM305.3618+0.1501',305.361801,0.150127,6.629,0.03017046311660884,12,0.13386399998970158,0
34028,b'HIGALBM305.3681+0.2124',305.368066,0.212404,6.487,0.030830892554339448,24,0.13379808504408755,0
34039,b'HIGALBM305.3839+0.2035',305.383865,0.203514,6.487,0.030830892554339448,0,,0
34072,b'HIGALBM305.4414-0.2337',305.441434,-0.233678,2.461,0.08126777732629012,0,,0
34096,b'HIGALBM305.4749-0.0961',305.474937,-0.09613,3.894,0.05136106831022085,12,0.13405052167442041,0
34130,b'HIGALBM305.5248-0.0337',305.52475,-0.033715,5.404,0.037009622501850484,12,0.1340217393118019,0
34136,b'HIGALBM305.5348+0.3438',305.534789,0.343849,6.552,0.030525030525030524,4,5.746774034136684,0
34149,b'HIGALBM305.5497+0.0038',305.549711,0.003755,3.676,0.0544069640914037,20,0.1339826721751394,0
34153,b'HIGALBM305.5532-0.0119',305.553243,-0.011931,3.676,0.0544069640914037,12,0.13385086851944078,0
34162,b'HIGALBM305.5625+0.0127',305.562523,0.012741,3.676,0.0544069640914037,40,0.13384201253182268,0
34309,b'HIGALBM305.7992-0.2447',305.799186,-0.244746,7.285,0.027453671928620454,74,0.13403662901757954,0
34321,b'HIGALBM305.8225-0.1145',305.822544,-0.114455,3.811,0.05247966413014957,12,0.1338216107710741,0
34328,b'HIGALBM305.8413-0.0596',305.841299,-0.05956,6.938,0.028826751225136928,0,,0
